date,sentiment,fg_value,total_trades,total_pnl,avg_pnl,win_rate,avg_leverage,long_ratio,unique_traders,liquidations,rolling_pnl,rolling_win_rate
2022-01-01,Extreme Fear,21.0,33,56.5282,1.7129757575757576,0.45454545454545453,3.303030303030303,0.21212121212121213,29,1,,
2022-01-02,Fear,29.0,44,13.140999999999991,0.2986590909090907,0.5681818181818182,5.613636363636363,0.4090909090909091,31,3,,
2022-01-03,Fear,29.0,39,-38.250499999999995,-0.9807820512820512,0.3076923076923077,5.6923076923076925,0.3333333333333333,31,3,,
2022-01-04,Extreme Fear,23.0,37,-3.2282000000000006,-0.08724864864864866,0.5135135135135135,3.324324324324324,0.32432432432432434,30,2,,
2022-01-05,Extreme Fear,24.0,33,-21.067,-0.6383939393939394,0.5454545454545454,2.878787878787879,0.24242424242424243,29,1,,
2022-01-06,Extreme Fear,15.0,30,-217.05339999999998,-7.235113333333333,0.43333333333333335,3.1,0.3,24,1,,
2022-01-07,Extreme Fear,18.0,42,44.1021,1.05005,0.5952380952380952,2.857142857142857,0.19047619047619047,34,1,,
2022-01-08,Extreme Fear,10.0,32,77.8189,2.431840625,0.6875,3.0625,0.21875,27,0,,
2022-01-09,Extreme Fear,23.0,33,9.880100000000008,0.29939696969696994,0.42424242424242425,3.1818181818181817,0.42424242424242425,26,1,,
2022-01-10,Extreme Fear,23.0,29,-37.29930000000002,-1.2861827586206902,0.4827586206896552,2.7241379310344827,0.3103448275862069,24,2,,
2022-01-11,Extreme Fear,21.0,30,0.3984000000000003,0.01328000000000001,0.5333333333333333,3.1666666666666665,0.4,22,1,,
2022-01-12,Extreme Fear,22.0,33,34.3864,1.0420121212121212,0.5757575757575758,2.9696969696969697,0.18181818181818182,28,1,,
2022-01-13,Extreme Fear,21.0,32,116.9287,3.654021875,0.5625,3.0625,0.1875,27,2,,
2022-01-14,Extreme Fear,21.0,35,-12.4804,-0.35658285714285715,0.37142857142857144,2.914285714285714,0.2857142857142857,29,2,,
2022-01-15,Extreme Fear,23.0,38,230.72889999999998,6.071813157894736,0.5526315789473685,2.973684210526316,0.3684210526315789,33,2,,
2022-01-16,Extreme Fear,21.0,42,25.8434,0.6153190476190475,0.5952380952380952,2.9761904761904763,0.19047619047619047,30,2,,
2022-01-17,Extreme Fear,22.0,30,-20.171200000000002,-0.6723733333333334,0.4666666666666667,2.3333333333333335,0.3,23,3,,
2022-01-18,Extreme Fear,24.0,38,66.85119999999999,1.7592421052631577,0.4473684210526316,2.789473684210526,0.3157894736842105,35,1,,
2022-01-19,Extreme Fear,24.0,33,145.1033,4.397069696969696,0.5151515151515151,2.9696969696969697,0.42424242424242425,28,0,,
2022-01-20,Extreme Fear,24.0,40,-23.0162,-0.575405,0.525,3.2,0.4,30,1,,
2022-01-21,Extreme Fear,19.0,36,115.408,3.2057777777777776,0.5833333333333334,3.388888888888889,0.2222222222222222,30,1,,
2022-01-22,Extreme Fear,13.0,37,131.03640000000001,3.5415243243243246,0.6756756756756757,3.189189189189189,0.24324324324324326,29,1,,
2022-01-23,Extreme Fear,11.0,37,-38.132,-1.0305945945945945,0.43243243243243246,3.0,0.24324324324324326,33,1,,
2022-01-24,Extreme Fear,13.0,40,131.9464,3.2986600000000004,0.55,2.9,0.25,30,1,,
2022-01-25,Extreme Fear,12.0,28,8.384800000000002,0.2994571428571429,0.42857142857142855,2.9285714285714284,0.39285714285714285,26,3,,
2022-01-26,Extreme Fear,23.0,39,34.37,0.8812820512820512,0.5641025641025641,3.1538461538461537,0.28205128205128205,29,1,,
2022-01-27,Extreme Fear,20.0,33,19.9336,0.6040484848484848,0.3939393939393939,3.242424242424242,0.21212121212121213,27,2,,
2022-01-28,Extreme Fear,24.0,44,22.360799999999994,0.5081999999999999,0.6363636363636364,3.3636363636363638,0.2727272727272727,36,3,,
2022-01-29,Extreme Fear,24.0,31,-24.829900000000002,-0.8009645161290323,0.41935483870967744,3.2903225806451615,0.4838709677419355,26,3,,
2022-01-30,Fear,29.0,31,47.5689,1.5344806451612902,0.5483870967741935,5.258064516129032,0.3870967741935484,25,2,29.90638,0.5129898756789747
2022-01-31,Extreme Fear,20.0,41,32.9099,0.8026804878048781,0.5609756097560976,3.024390243902439,0.2682926829268293,35,0,29.11910333333333,0.5165375475193295
2022-02-01,Fear,26.0,30,-125.0137,-4.1671233333333335,0.36666666666666664,5.466666666666667,0.43333333333333335,27,2,24.513946666666666,0.5098203758021577
2022-02-02,Fear,28.0,25,2.0812999999999975,0.0832519999999999,0.48,5.92,0.36,23,0,25.85834,0.5155639655457475
2022-02-03,Extreme Fear,20.0,31,83.7636,2.7020516129032255,0.5806451612903226,3.193548387096774,0.16129032258064516,25,0,28.75806666666666,0.5178016871383078
2022-02-04,Extreme Fear,20.0,37,74.2125,2.0057432432432436,0.6216216216216216,2.7837837837837838,0.24324324324324326,33,1,31.934049999999996,0.5203405896772103
2022-02-05,Fear,33.0,37,-17.6561,-0.4771918918918919,0.4594594594594595,5.297297297297297,0.35135135135135137,31,0,38.58062666666667,0.5212114605480812
2022-02-06,Fear,37.0,39,18.898200000000003,0.48456923076923086,0.46153846153846156,5.461538461538462,0.358974358974359,31,0,37.740496666666665,0.5167548060914268
2022-02-07,Neutral,45.0,34,-5.682999999999996,-0.16714705882352932,0.4411764705882353,8.323529411764707,0.5,28,0,34.9571,0.5085440217777013
2022-02-08,Neutral,48.0,33,-397.2208,-12.03699393939394,0.24242424242424243,8.363636363636363,0.5757575757575758,32,4,21.38707,0.5024834157170952
2022-02-09,Neutral,54.0,27,-36.609399999999994,-1.3559037037037034,0.4074074074074074,9.148148148148149,0.4444444444444444,24,1,21.410066666666662,0.4999717086076869
2022-02-10,Neutral,50.0,33,-176.9736,-5.362836363636363,0.6363636363636364,7.03030303030303,0.42424242424242425,26,1,15.497666666666666,0.5034060520420304
2022-02-11,Neutral,50.0,24,27.1901,1.1329208333333334,0.625,9.166666666666666,0.375,22,2,15.257789999999998,0.5050474661834444
2022-02-12,Fear,44.0,41,78.70739999999999,1.919692682926829,0.5609756097560976,5.341463414634147,0.4146341463414634,32,0,13.983746666666665,0.5049966531753144
2022-02-13,Fear,44.0,37,31.448999999999995,0.8499729729729728,0.4864864864864865,5.216216216216216,0.3783783783783784,30,1,15.448059999999996,0.5088319170105783
2022-02-14,Neutral,46.0,49,-1.177499999999997,-0.0240306122448979,0.3469387755102041,8.26530612244898,0.5102040816326531,35,2,7.717846666666664,0.5019754902293394
2022-02-15,Neutral,46.0,29,40.9179,1.4109620689655173,0.4482758620689655,7.620689655172414,0.4827586206896552,24,0,8.220329999999997,0.49707674912370176
2022-02-16,Neutral,51.0,32,13.682100000000002,0.42756562500000006,0.40625,9.03125,0.5625,28,1,9.34877333333333,0.4950628602348129
2022-02-17,Neutral,52.0,48,197.07309999999998,4.105689583333333,0.4375,9.666666666666666,0.4791666666666667,34,2,13.689503333333331,0.49473391286639185
2022-02-18,Fear,30.0,32,13.817099999999996,0.4317843749999999,0.5,5.65625,0.46875,26,0,9.313296666666666,0.49422886236134134
2022-02-19,Fear,25.0,35,17.9694,0.5134114285714286,0.45714285714285713,5.514285714285714,0.2857142857142857,29,1,10.679483333333334,0.4919669575994366
2022-02-20,Fear,27.0,26,7.4333000000000045,0.285896153846154,0.46153846153846156,4.538461538461538,0.5,20,2,7.080326666666665,0.4879071285396075
2022-02-21,Fear,25.0,35,37.5623,1.0732085714285715,0.6285714285714286,5.942857142857143,0.2857142857142857,29,1,3.964523333333332,0.4863369869694659
2022-02-22,Extreme Fear,20.0,34,-60.204899999999995,-1.7707323529411763,0.4117647058823529,2.911764705882353,0.29411764705882354,29,2,3.2287599999999985,0.48564806275113
2022-02-23,Fear,25.0,41,-46.865100000000005,-1.1430512195121953,0.43902439024390244,6.414634146341464,0.34146341463414637,33,1,-2.7316233333333355,0.48194887575926004
2022-02-24,Extreme Fear,23.0,32,-69.68369999999999,-2.1776156249999996,0.3125,2.71875,0.34375,28,1,-5.333906666666668,0.47807982814021244
2022-02-25,Fear,27.0,34,-157.86880000000002,-4.6432,0.5294117647058824,5.588235294117647,0.29411764705882354,31,1,-11.74186666666667,0.47692346816032305
2022-02-26,Fear,26.0,33,118.3509,3.586390909090909,0.36363636363636365,4.818181818181818,0.45454545454545453,27,0,-8.461290000000004,0.475913367150222
2022-02-27,Fear,26.0,33,35.07340000000001,1.0628303030303032,0.5151515151515151,5.787878787878788,0.3333333333333333,26,0,-8.03753666666667,0.471872963109818
